Record_ID,Presence-Absence,Shaded (Shaded/Semishaded/Unshaded),Saltwater (Yes/No),Habitat_1,Habitat_2,Habitat_3,Habitat_4,Habitat_5,Habitat_6,Habitat_7,Habitat_8,Habitat_9,Habitat_10,Habitat_11,Habitat_12,Habitat_13,Habitat_14,Habitat_15,Habitat_16,Habitat_17,Habitat_18,Habitat_19,Habitat_20,Habitat_21,Habitat_22,Habitat_23,Habitat_24,Habitat_25,Habitat_26,Habitat_27,Habitat_28,Habitat_29,Habitat_30,Habitat_31,Habitat_32,Habitat_33,Habitat_34,Habitat_35,Habitat_36,Habitat_37,Habitat_38,Habitat_39,Habitat_40,Habitat_41,Habitat_42,Habitat_43,Habitat_44,Habitat_45,Habitat_46,Habitat_47,Habitat_48,Habitat_49,Habitat_50,Notes
sp0000001740,Presence,,,fallen logs,ground pools,garbage pits,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no vegetation around larval habitats, also little shade"
sp0000001741,Presence,,,pastures,scrub savannah,secondary forests,unshaded temporary ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001742,Presence,,,rock pools,stream pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001743,Presence,,,partially shaded bromeliad axils,heavily shaded bromeliad axils,primary deciduous forests,secondary deciduous forests,secondary coniferous forests,swamp forests,cultivated fields,partially cleared forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001744,Presence,,,heavily shaded pits,heavily shaded stream pools,rock pools,shaded streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001745,Presence,,,partially cleared areas,fully cleared areas,stream pools,ground pools,flood pools,tire ruts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001746,Presence,,,lightly shaded permanent ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001819,Presence,,,rock pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001820,Presence,,,brackish rock pools,salt pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001821,Presence,,,crabholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001822,Presence,,,crabholes,lobsterholes,temporary ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001824,Presence,,,crabholes,temporary flood pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001826,Presence,,,artificial containers,coconut husks,coconut shells,treeholes,rockholes,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001827,Presence,,,treeholes,bamboo,leaf axils,coconut shells,coconut husks,artificial containers,pandanus,palms,canoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001828,Presence,,,hollow tree trunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001829,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001830,Presence,,,treeholes,rockholes,rock pools,shaded streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001832,Presence,,,leaf axils,treeholes,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001833,Presence,,,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001834,Presence,,,Pandanus leaf axils,Alocasia axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001834,Absence,,,taro axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001835,Presence,,,Pandanus leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001836,Presence,,,leaf axils,Pandanus axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001837,Presence,,,Pandanus leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001838,Presence,,,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001839,Presence,,,Pandanus leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001840,Presence,,,Pandanus leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001841,Presence,,,Pandanus leaf axils,taro axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001842,Presence,,,Pandanus leaf axils,taro axils,coconut palm trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001843,Presence,,,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001844,Presence,,,Pandanus leaf axils,taro axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001845,Presence,,,Pandanus leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001847,Presence,,,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001848,Presence,,,shallow temporary ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001849,Presence,,,mangrove swamps,salt marshes,rockholes,freshwater ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001850,Presence,,,shallow temporary ground pools,shaded swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001851,Presence,,,crabholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001852,Presence,,,swamps,swampy pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001853,Presence,,,forest temporary pools,coconut trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001854,Presence,,,shaded temporary pools,flooded pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001855,Presence,,,rotholes,flooded streams,creeks,sandy pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001856,Presence,,,shaded temporary pools,jungle pools,flood pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001857,Presence,,,shaded temporary pools,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001858,Presence,,,flooded swamps,woodland pools,rockholes,potholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001859,Presence,,,temporary ground pools,grassy pools,puddles,hoofprints,ponds,flooded ditches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001860,Presence,,,treeholes,tin cans,tires,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001861,Presence,,,treeholes,rockholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001862,Presence,,,artificial containers,treeholes,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001863,Presence,,,treeholes,coconut shells,coconut husks,bamboo stumps,fallen leaves,artificial containers,rockholes,jungle pools,lagoons,taro axils,sago palms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001864,Presence,,,Pandanus leaf axils,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001865,Presence,,,tree fern stump,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001866,Presence,,,treeholes,bamboo,leaf axils,rock pools,Nepenthes pitchers,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001867,Presence,,,shaded treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001868,Presence,,,cisterns,coconut shells,Pandanus leaf axils,rain barrels,canoes,tin cans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001869,Presence,,,treeholes,coconut shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001870,Presence,,,treeholes,tree stumps,Pandanus leaf axils,leaf axils,artificial containers,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001871,Presence,,,treeholes,coconut shells,coconut husks,artificial containers,taro axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001872,Presence,,,coconut shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001873,Presence,,,treeholes,coconut shells,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001874,Presence,,,treeholes,coconut shells,coconut fronds,barrels,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001875,Presence,,,treeholes,coconut husks,coconut shells,wooden containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001875,Absence,,,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001876,Presence,,,treeholes,coconut shells,coconut husks,canoes,artificial containers,crabholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001877,Presence,,,treeholes,bamboo,native gongs,crabholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001878,Presence,,,treeholes,coconut shells,coconut husks,artificial containers,Pandanus leaf axils,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001879,Presence,,,treeholes,coconut shells,tin cans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001880,Presence,,,cisterns,artificial containers,coconuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001881,Presence,,,tree fern stump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001882,Presence,,,tree fern stump,fallen tree trunk,coconut shells,Pandanus leaf,tridcana shell,rain barrels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001883,Presence,,,coconut shells,coconut husks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001884,Presence,,,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001885,Presence,,,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001886,Presence,,,treeholes,tree fern stump,coconut husks,cut bamboo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001887,Presence,,,airplane wing tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001888,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001889,Presence,,,treeholes,coconut shells,bamboo stump,frond axils,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001890,Presence,,,treeholes,artificial containers,aroid leaf axils,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001891,Presence,,,artificial containers,treeholes,papaya stumps,bamboo stumps,canvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001892,Presence,,,banana axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001893,Presence,,,tin cans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001894,Presence,,,Nepenthes pitchers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001895,Presence,,,treeholes,bamboo,coconut shells,coconut husks,artificial containers,palm bracts,rock pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001896,Presence,,,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001897,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001898,Presence,,,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001899,Presence,,,treeholes,bamboo stumps,coconut shells,coconut husks,fallen spathes,artificial containers,tin cans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001899,Absence,,,aroid leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001900,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001901,Presence,,,treeholes,artificial containers,tin cans,pots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001902,Presence,,,treeholes,bamboo stumps,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001903,Presence,,,treeholes,coconut husks,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001949,Presence,,,vegetable paddies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001950,Presence,,,artificial containers,fallen palm leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001951,Presence,,,stream margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001952,Presence,,,flood pools,vegetable paddies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001953,Presence,,,vegetable paddies,irrigation ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001954,Presence,,,stream margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001955,Presence,,,stream margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001956,Presence,,,stream margins,flood pools,irrigation ditches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001957,Presence,,,stream margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001958,Presence,,,rock pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001959,Presence,,,artificial containers,flood pools,irrigation ditches,irrigation ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001960,Presence,,,pastures,road ditches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001961,Presence,,,artificial containers,irrigation ditches,stream margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001962,Presence,,,stream margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001963,Presence,,,stream margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001964,Presence,,,artificial containers,irrigation ditches,stream margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001965,Presence,,,artificial containers,pastures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001966,Presence,,,rock pools,flood pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001967,Presence,,,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001968,Presence,,,road ditches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001969,Presence,,,riverbed pools,lakes,ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001970,Presence,,,artificial containers,cement tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001971,Presence,,,treeholes,bamboo stumps,leaf axils,rock pools,cement tanks,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001972,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001973,Presence,,,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001974,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001975,Presence,,,ponds,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001976,Presence,,,treeholes,bamboo stumps,rock pools,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001977,Presence,,,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001978,Presence,,,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001979,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001980,Presence,,,treeholes,bamboo stumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001981,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001982,Presence,,,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001983,Presence,,,rock pools,cement tanks,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001984,Presence,,,treeholes,bamboo stumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001985,Presence,,,riverbed pools,lakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001986,Presence,,,irrigation canals,riverbed pools,ground pools,betel nuts,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001987,Presence,,,riverbed pools,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001988,Presence,,,riverbed pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001989,Presence,,,ground pools,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001990,Presence,,,ground pools,paddies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001991,Presence,,,cement tanks,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001992,Presence,,,irrigation canals,riverbed pools,ground pools,paddies,betel nuts,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001993,Presence,,,irrigation canals,ground pools,paddies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001994,Presence,,,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001995,Presence,,,bamboo stumps,cement tanks,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001996,Presence,,,irrigation canals,ponds,ground pools,paddies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001997,Presence,,,treeholes,bamboo stumps,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001998,Presence,,,irrigation canals,ground pools,seepage pools,cement tanks,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000001999,Presence,,,ground pools,betel nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002000,Presence,,,irrigation canals,ponds,ground pools,betel nuts,cement tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002001,Presence,,,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002002,Presence,,,cement tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002003,Presence,,,cement tanks,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002004,Presence,,,ground pools,ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002005,Presence,,,irrigation canals,ground pools,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002006,Presence,,,irrigation canals,ground pools,seepage pools,cement tanks,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002007,Presence,,,ground pools,cement tanks,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002008,Presence,,,ground pools,burrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002009,Presence,,,wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002010,Presence,,,irrigation canals,lakes,ground pools,paddies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002011,Presence,,,ground pools,cement tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002012,Presence,,,ground pools,ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002013,Presence,,,cement tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002014,Presence,,,irrigation canals,riverbed pools,lakes,ponds,ground pools,seepage pools,paddies,betel nuts,cement tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002015,Presence,,,ponds,betel nuts,cement tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002016,Presence,,,ground pools,cement tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002017,Presence,,,irrigation canals,ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002018,Presence,,,irrigation canals,ponds,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002019,Presence,,,irrigation canals,ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002020,Presence,,,irrigation canals,riverbed pools,lakes,ponds,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002021,Presence,,,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002022,Presence,,,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002023,Presence,,,leaf axils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002024,Presence,,,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002025,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002026,Presence,,,ground pools,seepage pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002027,Presence,,,ground pools,seepage pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002028,Presence,,,irrigation canals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002029,Presence,,,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002038,Presence,,,crabholes,stagnant pools,swamps,coral islet,forest stream,sunlit pools,brackish pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002039,Presence,,,jungle swamps,shaded pools,foxholes,road ruts,rock pools,shaded streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000002040,Presence,,,jungle streams,rock pools,seepage pools,freshwater swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
